family,side,bucket,band,n_markets,grey,avg_paid_c,realized_pct,bias_pp,ci_lo,ci_hi,vw_paid_c,vw_realized_pct,qty_contracts,n_trades,spread_med_c,spread_n_markets,fee_c,cost_c,exceeds_cost,max_single_loss_c
crypto_15m,no,01-05,10-60m,43,False,4.09,0.0,4.09,3.9,4.25,3.95,0.0,643745.5,9598,0.15,40,0.27,0.42,True,
crypto_15m,no,05-10,10-60m,189,False,8.39,5.82,2.57,-1.15,5.73,7.71,2.0,3451132.4,56513,0.16,184,0.54,0.7,False,92.7
crypto_15m,no,10-20,10-60m,554,False,16.4,15.7,0.7,-2.48,3.46,15.51,9.15,15570791.8,224126,1.02,584,0.96,1.98,False,88.3
crypto_15m,no,20-35,10-60m,1475,False,29.36,32.0,-2.64,-5.04,-0.3,28.05,23.52,60418182.5,931012,1.05,1492,1.45,2.5,True,78.1
crypto_15m,no,35-50,10-60m,2531,False,43.29,45.87,-2.58,-4.5,-0.61,42.39,41.28,107152907.3,1701853,1.33,2612,1.72,3.05,False,65.0
crypto_15m,no,45-55(null),10-60m,2693,False,49.62,49.31,0.3,-1.59,2.1,49.44,48.31,78462813.2,1254214,1.28,5173,1.75,3.03,False,55.0
crypto_15m,no,50-65,10-60m,2646,False,55.81,51.78,4.04,2.22,5.85,56.15,55.62,95538525.5,1603997,1.22,2561,1.73,2.95,True,50.0
crypto_15m,no,65-80,10-60m,1699,False,69.47,64.33,5.14,2.71,7.39,70.76,70.21,44325738.2,776928,1.03,1521,1.48,2.51,True,35.0
crypto_15m,no,80-90,10-60m,684,False,82.81,83.04,-0.23,-2.88,2.6,83.74,86.61,12312727.4,197572,1.0,592,1.0,2.0,False,20.0
crypto_15m,no,90-95,10-60m,218,False,91.13,90.83,0.31,-3.4,4.35,91.64,92.78,2385312.1,41407,0.17,166,0.57,0.74,False,10.0
crypto_15m,no,95-99,10-60m,53,False,95.56,98.11,-2.56,-4.6,1.37,95.68,99.58,228715.8,3684,0.15,30,0.3,0.45,False,5.0
crypto_15m,no,01-05,2-5m,1034,False,2.59,3.58,-0.99,-2.21,0.18,2.45,1.96,39086571.1,623724,0.19,980,0.18,0.36,False,98.2
crypto_15m,no,05-10,2-5m,921,False,7.13,7.06,0.07,-1.56,1.59,7.09,6.93,17323426.5,354887,0.24,866,0.46,0.7,False,94.8
crypto_15m,no,10-20,2-5m,881,False,14.4,12.94,1.46,-0.71,3.61,14.52,11.99,15907523.2,268027,1.1,852,0.86,1.96,False,88.9
crypto_15m,no,20-35,2-5m,939,False,26.69,25.77,0.92,-1.88,3.58,26.79,23.79,20100570.5,322819,1.12,877,1.37,2.49,False,80.0
crypto_15m,no,35-50,2-5m,878,False,41.94,39.52,2.41,-0.92,5.38,42.06,37.25,19102008.1,293324,1.14,839,1.7,2.85,False,65.0
crypto_15m,no,45-55(null),2-5m,856,False,49.6,46.38,3.22,-0.04,6.29,49.45,44.23,12877820.9,192440,1.15,1704,1.75,2.9,False,55.0
crypto_15m,no,50-65,2-5m,913,False,56.97,53.23,3.74,0.59,7.02,57.04,54.58,19288980.4,293017,1.15,865,1.72,2.87,True,49.8
crypto_15m,no,65-80,2-5m,935,False,72.26,69.3,2.96,0.11,5.93,72.39,72.53,23130719.2,343832,1.12,887,1.4,2.53,True,35.0
crypto_15m,no,80-90,2-5m,918,False,84.79,82.35,2.43,0.06,4.86,84.73,81.96,22477659.1,312769,1.1,876,0.9,2.0,True,20.0
crypto_15m,no,90-95,2-5m,931,False,92.48,90.23,2.26,0.38,4.22,92.34,89.27,20826964.3,350227,0.24,864,0.49,0.73,True,10.0
crypto_15m,no,95-99,2-5m,1097,False,97.52,95.81,1.72,0.61,2.98,97.59,97.45,38524147.9,592819,0.19,1007,0.17,0.36,True,5.0
crypto_15m,no,01-05,5-10m,557,False,3.53,3.77,-0.24,-1.99,1.2,3.03,1.51,19907969.9,306790,0.17,540,0.24,0.41,False,97.9
crypto_15m,no,05-10,5-10m,802,False,7.54,7.61,-0.07,-1.94,1.66,7.26,4.92,24852664.3,481894,0.18,779,0.49,0.67,False,93.8
crypto_15m,no,10-20,5-10m,1093,False,14.94,15.92,-0.98,-3.18,1.06,14.68,10.33,31098675.0,518557,1.04,1083,0.89,1.93,False,88.3
crypto_15m,no,20-35,5-10m,1439,False,27.48,28.08,-0.6,-2.83,1.69,27.15,23.19,45977682.9,801295,1.07,1400,1.39,2.46,False,79.9
crypto_15m,no,35-50,5-10m,1555,False,41.88,40.84,1.05,-1.27,3.34,41.72,40.95,46557891.6,790748,1.08,1502,1.7,2.78,False,65.0
crypto_15m,no,45-55(null),5-10m,1460,False,49.49,47.6,1.89,-0.9,4.34,49.43,46.91,28350276.4,472045,1.08,2990,1.75,2.83,False,55.0
crypto_15m,no,50-65,5-10m,1544,False,57.0,54.4,2.6,0.21,5.03,56.98,54.88,41995990.9,715655,1.08,1488,1.72,2.79,False,50.0
crypto_15m,no,65-80,5-10m,1509,False,71.75,67.99,3.75,1.5,6.23,72.24,71.65,42612026.5,734162,1.06,1419,1.42,2.48,True,35.0
crypto_15m,no,80-90,5-10m,1228,False,84.23,81.84,2.39,0.23,4.64,84.61,84.09,35573441.6,558222,1.03,1140,0.93,1.96,True,20.0
crypto_15m,no,90-95,5-10m,885,False,92.05,91.07,0.97,-0.78,2.81,92.19,93.48,24977410.9,445667,0.19,807,0.51,0.7,False,10.0
crypto_15m,no,95-99,5-10m,608,False,96.55,95.23,1.32,-0.27,3.02,97.01,98.86,19044592.3,289932,0.17,525,0.23,0.41,False,5.0
crypto_15m,no,01-05,lt2m,955,False,2.03,1.88,0.14,-0.78,0.88,2.26,0.67,23997359.0,342172,0.24,836,0.14,0.38,False,98.6
crypto_15m,no,05-10,lt2m,600,False,6.97,5.0,1.97,-0.02,3.61,7.08,3.17,7330580.3,116871,0.45,540,0.45,0.9,False,94.0
crypto_15m,no,10-20,lt2m,528,False,14.11,11.36,2.75,-0.03,5.13,14.61,10.84,6293907.5,92821,1.34,489,0.85,2.19,False,88.5
crypto_15m,no,20-35,lt2m,486,False,26.19,22.63,3.56,0.12,7.26,26.69,22.17,8535345.1,114531,1.33,422,1.35,2.69,True,78.9
crypto_15m,no,35-50,lt2m,448,False,42.04,37.28,4.77,0.58,9.26,41.89,38.99,7271457.2,91297,1.29,396,1.71,2.99,True,62.1
crypto_15m,no,45-55(null),lt2m,412,False,49.43,44.9,4.53,-0.59,8.97,49.36,51.19,4506138.5,57490,1.38,795,1.75,3.13,False,54.3
crypto_15m,no,50-65,lt2m,451,False,57.13,52.33,4.8,0.4,9.02,56.97,58.84,6512694.5,85739,1.48,399,1.71,3.2,True,48.1
crypto_15m,no,65-80,lt2m,488,False,72.51,67.21,5.3,1.3,9.37,72.44,72.47,8783647.5,114100,1.33,439,1.4,2.73,True,32.8
crypto_15m,no,80-90,lt2m,533,False,85.05,81.05,4.0,0.89,7.32,84.97,83.71,8898663.7,110785,1.3,495,0.89,2.19,True,19.0
crypto_15m,no,90-95,lt2m,624,False,92.5,88.3,4.2,1.79,6.77,92.32,90.73,9607634.3,131353,0.47,564,0.49,0.96,True,10.0
crypto_15m,no,95-99,lt2m,867,False,97.94,94.69,3.25,1.79,4.74,97.67,96.1,19058987.0,296279,0.24,825,0.14,0.38,True,4.1
crypto_15m,yes,01-05,10-60m,34,False,4.28,2.94,1.34,-4.7,4.46,4.23,1.19,351046.6,4858,0.15,30,0.29,0.44,False,96.9
crypto_15m,yes,05-10,10-60m,164,False,8.29,8.54,-0.24,-5.11,3.84,7.81,4.74,2896336.8,49624,0.17,166,0.53,0.71,False,92.5
crypto_15m,yes,10-20,10-60m,561,False,16.37,14.8,1.57,-1.39,4.53,15.67,11.59,17476408.7,249582,1.0,592,0.96,1.96,False,86.7
crypto_15m,yes,20-35,10-60m,1499,False,29.35,33.02,-3.67,-5.93,-1.33,28.18,28.0,71205317.9,1073963,1.03,1521,1.45,2.48,True,77.7
crypto_15m,yes,35-50,10-60m,2534,False,43.24,47.4,-4.15,-5.88,-2.15,42.29,41.86,116456957.3,1846475,1.22,2561,1.72,2.94,True,63.9
crypto_15m,yes,45-55(null),10-60m,2703,False,49.62,50.09,-0.48,-2.21,1.39,49.42,50.05,82333174.2,1351501,1.28,5173,1.75,3.03,False,55.0
crypto_15m,yes,50-65,10-60m,2650,False,55.77,52.64,3.13,1.23,4.87,56.19,56.46,99381897.8,1711779,1.33,2612,1.73,3.06,True,50.0
crypto_15m,yes,65-80,10-60m,1673,False,69.33,65.21,4.11,1.94,6.33,70.62,73.51,41480676.7,764647,1.05,1492,1.49,2.54,True,35.0
crypto_15m,yes,80-90,10-60m,660,False,82.97,82.42,0.55,-2.27,3.62,83.89,88.02,11109775.9,188809,1.02,584,0.99,2.01,False,20.0
crypto_15m,yes,90-95,10-60m,242,False,91.16,92.98,-1.82,-4.68,1.42,91.76,97.95,2601182.8,48043,0.16,184,0.56,0.72,False,10.0
crypto_15m,yes,95-99,10-60m,60,False,95.68,96.67,-0.99,-4.37,4.03,95.92,99.92,462090.3,8259,0.15,40,0.29,0.44,False,5.0
crypto_15m,yes,01-05,2-5m,1062,False,2.56,2.82,-0.26,-1.36,0.66,2.42,1.46,41853713.2,656716,0.19,1007,0.17,0.36,False,98.6
crypto_15m,yes,05-10,2-5m,922,False,7.11,9.11,-2.0,-3.78,-0.21,7.11,8.21,18485498.6,366756,0.24,864,0.46,0.71,True,94.6
crypto_15m,yes,10-20,2-5m,915,False,14.48,15.85,-1.36,-3.77,0.93,14.63,17.1,17587501.9,292496,1.1,876,0.87,1.97,False,90.0
crypto_15m,yes,20-35,2-5m,934,False,26.68,29.12,-2.44,-5.45,0.34,26.79,26.88,21236684.3,342258,1.12,887,1.37,2.49,False,80.0
crypto_15m,yes,35-50,2-5m,913,False,42.1,44.58,-2.48,-5.61,0.61,42.08,44.97,20452967.4,313165,1.15,865,1.71,2.86,False,65.0
crypto_15m,yes,45-55(null),2-5m,856,False,49.5,51.52,-2.02,-5.4,1.13,49.51,57.53,13800020.4,205297,1.15,1704,1.75,2.9,False,55.0
crypto_15m,yes,50-65,2-5m,886,False,56.84,57.67,-0.83,-4.07,2.56,57.09,64.51,21322291.4,315808,1.14,839,1.72,2.86,False,50.0
