family,market_ticker,series_ticker,ts_iso,prev_c,yes_c,jump_c,dt_prev_s,tts_min,result
sports_prop,KXMLBTOTAL-26JUL191410MIAMIL-4,KXMLBTOTAL,2026-07-19 20:59:44.630000+00:00,1.0,99.0,98.0,0.0,4.722833333333333,yes
sports_prop,KXPGAMAKECUT-COPC26-PWAR,KXPGAMAKECUT,2026-07-17 22:55:23.935000+00:00,1.0,99.0,98.0,134.286,55.30108333333333,no
crypto_hourly,KXBTCD-26JUL1003-T62999.99,KXBTCD,2026-07-10 06:01:00.255000+00:00,1.0,99.0,98.0,0.0,58.99575,yes
sports_prop,KXMLBHRR-26JUL112110AZLAD-LADKTUCKER23-1,KXMLBHRR,2026-07-12 03:43:05.398000+00:00,99.0,1.0,-98.0,2366.421,31.8267,no
sports_prop,KXWNBAOT-26JUL16NYDAL-OT,KXWNBAOT,2026-07-21 02:08:24.548000+00:00,1.0,99.0,98.0,3.254,1.3408666666666667,yes
sports_prop,KXWCSCOREET-26JUL19ESPARG-ESP0ARG1,KXWCSCOREET,2026-07-19 21:24:21.138000+00:00,99.0,1.0,-98.0,8.728,49.83103333333333,no
sports_prop,KXMLBHRR-26JUL112110AZLAD-AZCCARROLL7-1,KXMLBHRR,2026-07-12 03:56:52.227000+00:00,99.0,1.0,-98.0,1545.5,17.92955,no
sports_prop,KXWNBAOT-26JUL09SEAATL-OT,KXWNBAOT,2026-07-10 02:02:54.971000+00:00,99.0,1.0,-98.0,50.337,8.41715,no
sports_prop,KXMLBHRR-26JUL121340SEATB-TBYDIAZ2-2,KXMLBHRR,2026-07-12 19:54:36.069000+00:00,1.0,99.0,98.0,12.603,58.29885,yes
sports_prop,KXUFCROUNDS-26JUL11GREMCK-2,KXUFCROUNDS,2026-07-12 01:31:56.263000+00:00,1.0,99.0,98.0,0.0,18.312283333333333,yes
sports_prop,KXPGAROUNDSCORE-THOC26R1-KKIT70,KXPGAROUNDSCORE,2026-07-16 15:25:22.908000+00:00,1.0,99.0,98.0,4355.075,84.8682,yes
sports_prop,KXBRASILEIROTEAMTOTAL-26JUL17MIRGPA-MIR2,KXBRASILEIROTEAMTOTAL,2026-07-17 23:11:24+00:00,1.0,99.0,98.0,18.834,109.01666666666667,yes
sports_prop,KXWCSCOREET-26JUL19ESPARG-ESP2ARG0,KXWCSCOREET,2026-07-19 21:25:31.122000+00:00,1.0,99.0,98.0,1.195,48.664633333333335,no
sports_prop,KXWCSCOREET-26JUL19ESPARG-ESP2ARG0,KXWCSCOREET,2026-07-19 21:25:53.895000+00:00,99.0,1.0,-98.0,22.773,48.28508333333333,no
sports_prop,KXBRASILEIROTEAMTOTAL-26JUL17FLURBB-RBB2,KXBRASILEIROTEAMTOTAL,2026-07-18 01:10:45.513000+00:00,1.0,99.0,98.0,56.376,9.608116666666668,no
sports_prop,KXBRASILEIROTEAMTOTAL-26JUL17FLURBB-RBB2,KXBRASILEIROTEAMTOTAL,2026-07-18 01:09:48.153000+00:00,99.0,1.0,-98.0,66.192,10.564116666666667,no
sports_prop,KXWCSCOREET-26JUL19ESPARG-ESP1ARG1,KXWCSCOREET,2026-07-19 21:26:05.370000+00:00,1.0,99.0,98.0,84.742,48.093833333333336,no
sports_prop,KXBRASILEIROTEAMTOTAL-26JUL17FLURBB-RBB2,KXBRASILEIROTEAMTOTAL,2026-07-18 01:08:41.961000+00:00,1.0,99.0,98.0,0.0,11.667316666666666,no
sports_prop,KXBRASILEIROTEAMTOTAL-26JUL17FLURBB-RBB2,KXBRASILEIROTEAMTOTAL,2026-07-18 01:08:41.961000+00:00,99.0,1.0,-98.0,6.092,11.667316666666666,no
crypto_hourly,KXBTCD-26JUL1022-T60999.99,KXBTCD,2026-07-11 01:01:41.456000+00:00,1.0,99.0,98.0,17.601,58.309066666666666,yes
