k,program,markets,lots,pnl_usd,ev_c_per_lot
1,ask,14102,13514.236505655572,-61.93,-0.458
1,bid,11713,10940.962187942117,2.62,0.024
2,ask,14102,26545.19648079574,-118.77,-0.447
2,bid,11713,21698.4322816208,1.34,0.006
5,ask,14102,56047.487163750455,-238.48,-0.425
5,bid,11713,53324.97252721153,-13.29,-0.025
10,ask,14102,103611.89796415344,-434.97,-0.42
10,bid,11713,104233.212969115,-30.24,-0.029
20,ask,14102,195309.13880162314,-812.79,-0.416
20,bid,11713,200101.69433758222,-149.66,-0.075
50,ask,14102,446697.53033417277,-1898.79,-0.425
50,bid,11713,457694.8257201649,-980.65,-0.214
