k,program,phase,lots,pnl_usd
1,ask,ingame,6971.573348514736,-37.9
1,ask,pregame,354.4800506979227,1.78
1,ask,unknown,6188.183106442913,-25.81
1,bid,ingame,4704.12101194635,-20.59
1,bid,pregame,237.22013890370727,4.86
1,bid,unknown,5999.62103709206,18.34
2,ask,ingame,13542.033216761425,-72.23
2,ask,pregame,692.7900508791208,4.55
2,ask,unknown,12310.373213155195,-51.09
2,bid,ingame,9282.381029680371,-44.43
2,bid,pregame,461.7201389335096,9.51
2,bid,unknown,11954.33111300692,36.25
5,ask,ingame,23896.483748175204,-131.34
5,ask,pregame,1668.6700642257929,14.52
5,ask,unknown,30482.333351349458,-121.67
5,bid,ingame,22583.75118969567,-112.91
5,bid,pregame,1095.6301401667297,21.23
5,bid,unknown,29645.59119734913,78.38
10,ask,ingame,40056.514105618,-206.31
10,ask,pregame,3264.490066424012,33.41
10,ask,unknown,60290.89379211143,-262.07
10,bid,ingame,43615.3313699048,-231.94
10,bid,pregame,2060.420143198222,32.21
10,bid,unknown,58557.46145601198,169.49
20,ask,ingame,70518.30450930819,-349.22
20,ask,pregame,6363.400067195296,78.33
20,ask,unknown,118427.43422511965,-541.9
20,bid,ingame,81780.41154560074,-518.24
20,bid,pregame,3854.5201607458293,41.77
20,bid,unknown,114466.76263123564,326.81
50,ask,ingame,148713.76490872912,-901.82
50,ask,pregame,14746.100072905421,246.34
50,ask,unknown,283237.6653525382,-1243.31
50,bid,ingame,179091.0220785439,-1443.16
50,bid,pregame,8438.95018358156,91.83
50,bid,unknown,270164.85345803946,370.68
