series,lots,pnl_usd,markets
KXATPCHALLENGERMATCH,10516.300223581493,157.99,973
KXNBASUMMERTOTAL,7331.080113753676,144.71,713
KXITFMATCH,25830.120470587164,128.61,2473
KXATPGTOTAL,1446.9200654923916,126.8,188
KXWCSTART,2544.710272608325,38.17,253
KXVALORANTMAP,2857.7101640701294,35.63,316
KXMLBKS,4133.64064366743,34.86,583
KXMLBF5SPREAD,3962.1902530360967,22.17,430
KXMLBF7,1131.210259731859,21.46,201
KXATPSETWINNER,3984.2604217790067,20.06,448
KXWNBATOTAL,5167.290052570403,16.71,500
KXNPBTOTAL,839.710039421916,16.61,94
KXLOLMAP,2526.3300684541464,15.75,272
KXITFWDOUBLES,4285.110310649499,14.56,479
KXMLBOUTS,654.6500016152859,11.42,80
KXATPEXACTMATCH,2427.9802580010146,8.1,282
KXMLBGAME,3220.000030517578,5.63,294
KXCS2MAP,6790.4604578614235,0.44,784
KXCLUBFGAME,2763.640072112903,-6.32,269
KXWNBA2QTOTAL,1055.460133396089,-11.17,132
KXNPBSPREAD,708.7900461703539,-13.97,81
KXPGAROUNDSCORE,1094.7602810710669,-14.35,124
KXMLBF3,1486.860259750858,-16.33,207
KXATPMATCH,3937.8100611269474,-18.98,367
KXNBASUMMERSPREAD,6583.930239517242,-23.07,670
KXMLBTEAMTOTAL,3561.640161002055,-26.76,614
KXMLBF5,3768.800500020385,-29.72,388
KXMLBHR,6456.760611472651,-32.67,831
KXMLBHRR,6572.460016774014,-35.71,2679
KXMLBTOTAL,15588.891131559387,-47.16,1564
KXWTAMATCH,3840.9907684419304,-51.87,364
KXLMBGAME,1763.1201685965061,-56.41,193
KXWNBAPTS,2095.9406499303877,-57.07,350
KXMLBHIT,6313.440176397562,-61.51,1494
KXMLBF5TOTAL,4748.420350370929,-67.59,552
KXITFDOUBLES,4238.640150740743,-92.04,456
KXCLUBFTOTAL,3746.3501687478274,-92.7,418
KXMLBSPREAD,11911.67034465447,-148.78,1197
KXITFWMATCH,25957.060534015298,-380.74,2517
