family,phase,grp,taker_side,n,avg_p,win_rate,pnl_sum_c,bias_pp
sports_game,ingame,favorite,no,1331,94.8603438476138,0.9194552529182879,7491.083688367483,2.9148185557850184
sports_game,ingame,favorite,yes,1309,94.73842631379286,0.9195721077654516,7019.788016013157,2.7812155372476894
sports_game,ingame,longshot,no,1532,13.409446133708611,0.13641223006200556,-1084.0204326448218,-0.23177687249194534
sports_game,ingame,longshot,yes,1605,14.010952963937287,0.13813628899835798,961.3628403024665,0.19732406410148862
sports_game,pregame,favorite,no,126,93.28187829771382,0.8693181818181818,1117.61058039763,6.350060115895644
sports_game,pregame,favorite,yes,182,93.14779987902799,0.8178137651821862,2807.5065701199132,11.366423360809364
sports_game,pregame,longshot,no,476,21.81718822779094,0.25771604938271603,-2562.462028391473,-3.9544167104806647
sports_game,pregame,longshot,yes,578,22.360283674084513,0.23076923076923078,-577.6113586878813,-0.7166394028385632
sports_game,unknown,favorite,no,1780,94.73348156116546,0.90239625949737,15377.973902308186,4.493855611428458
sports_game,unknown,favorite,yes,1232,94.67812395979367,0.8925690021231423,12766.9819253141,5.421223747479445
sports_game,unknown,longshot,no,1474,13.407420738091142,0.15226689478186484,-8506.900628685822,-1.8192687400953407
sports_game,unknown,longshot,yes,2096,13.42433136010279,0.14310722100656456,-6076.20852649536,-0.8863907405536651
sports_prop,ingame,favorite,no,23936,96.3023079192147,0.9468641114982579,55651.48473775438,1.615896769388911
sports_prop,ingame,favorite,yes,17172,95.96325449625446,0.9302382966723068,83385.6035497467,2.9394248290237783
sports_prop,ingame,longshot,no,10625,10.987522706932493,0.1040485427235651,11715.131545584718,0.5826684345759823
sports_prop,ingame,longshot,yes,18981,14.526073555696229,0.1388617198445637,24206.83653843268,0.639901571239859
sports_prop,pregame,favorite,no,1484,93.95679575798272,0.9072104018912529,5474.898422506761,3.235755568857428
sports_prop,pregame,favorite,yes,909,93.76403975834127,0.9030910609857978,4135.555590734493,3.4549336597614797
sports_prop,pregame,longshot,no,2377,19.71337843804084,0.20252707581227436,-1493.941726626861,-0.5393291431865954
sports_prop,pregame,longshot,yes,14257,17.695803506714928,0.16194100856327306,23674.342283360857,1.501702650387621
sports_prop,unknown,favorite,no,23798,95.50171641297713,0.9187611643646061,144106.72226660207,3.6255999765165257
sports_prop,unknown,favorite,yes,16662,95.20690203359271,0.8873875369343647,194827.09615384616,6.468148340156247
sports_prop,unknown,longshot,no,14775,12.903365751737002,0.12827134527834722,2863.3210009935324,0.07623122390228154
sports_prop,unknown,longshot,yes,26325,13.06544496888335,0.12428158638427587,40140.116810086685,0.6372863304557619
