fam,phase,side,bucket,med_displayed_lots,n_quotes
sports_prop,unknown,yes,35-50,109.0,24087848
sports_prop,unknown,yes,50-65,147.29,17688996
sports_prop,unknown,yes,20-35,175.0,22062217
sports_prop,unknown,yes,90-95,480.0,2537750
sports_prop,unknown,yes,65-80,151.5,12245396
sports_prop,unknown,yes,80-90,237.92,6056637
sports_prop,unknown,yes,05-10,500.0,8940875
sports_game,pregame,yes,65-80,326.0,742331
sports_game,ingame,yes,10-20,305.75,670088
sports_game,ingame,yes,01-05,9013.28,180683
sports_game,pregame,yes,35-50,154.0,4671297
sports_game,pregame,yes,50-65,587.0,3059448
sports_game,pregame,yes,20-35,122.0,840798
sports_game,pregame,yes,80-90,292.15999999999997,173376
sports_game,ingame,yes,95-99,6015.415,195208
sports_game,pregame,yes,05-10,597.0,45500
sports_game,pregame,yes,90-95,605.0,37800
sports_prop,ingame,yes,50-65,150.0,4398262
sports_prop,ingame,yes,20-35,200.0,7031730
sports_prop,ingame,yes,35-50,150.0,6688076
sports_prop,ingame,yes,65-80,132.01,2690984
sports_prop,ingame,yes,05-10,400.0,3247095
sports_prop,ingame,yes,80-90,149.0,1403252
sports_prop,ingame,yes,90-95,246.86,599798
sports_prop,pregame,yes,10-20,988.0,1876553
sports_prop,pregame,yes,01-05,2562.0,247639
sports_prop,pregame,yes,95-99,2754.0,52373
sports_game,unknown,yes,35-50,134.61,3322154
sports_game,unknown,yes,50-65,193.0,2357548
sports_game,unknown,yes,65-80,399.16,1124102
sports_game,unknown,yes,80-90,501.0,437187
sports_game,unknown,yes,90-95,418.5,172351
sports_game,unknown,yes,20-35,615.0,3738515
sports_game,unknown,yes,05-10,568.22,502768
sports_prop,unknown,no,01-05,2185.59,1363819
sports_prop,unknown,no,10-20,274.0,5948117
sports_prop,unknown,no,95-99,1000.0,7690991
sports_game,ingame,no,10-20,253.75,651516
sports_game,ingame,no,01-05,9356.7,178829
sports_game,pregame,no,65-80,250.0,894975
sports_game,pregame,no,20-35,125.0,721809
sports_game,pregame,no,80-90,127.45,218944
sports_game,pregame,no,90-95,281.0,47746
sports_game,pregame,no,50-65,200.0,4758100
sports_game,pregame,no,35-50,380.0,2937420
sports_game,ingame,no,95-99,2672.745,198736
sports_game,pregame,no,05-10,383.33,36380
sports_prop,ingame,no,95-99,26.1,2054297
sports_prop,ingame,no,10-20,224.0,1393485
sports_prop,ingame,no,01-05,801.0,301125
sports_prop,pregame,no,95-99,25.0,281144
sports_prop,pregame,no,01-05,1304.0,45537
sports_prop,pregame,no,10-20,275.0,479125
sports_game,unknown,no,10-20,533.0,432830
sports_game,unknown,no,01-05,2017.84,114701
sports_game,unknown,no,95-99,1133.045,361876
sports_prop,unknown,yes,95-99,1975.8,1497365
sports_prop,unknown,yes,10-20,274.51,15117478
sports_prop,unknown,yes,01-05,1903.34,7141844
sports_game,ingame,yes,65-80,175.02,1095057
sports_game,ingame,yes,50-65,186.0,1696169
sports_game,ingame,yes,80-90,212.09,654121
sports_game,ingame,yes,20-35,208.0,1143176
sports_game,ingame,yes,35-50,187.55,1685847
sports_game,ingame,yes,05-10,555.0,310209
sports_game,pregame,yes,10-20,507.0,215106
sports_game,ingame,yes,90-95,378.0,306328
sports_game,pregame,yes,01-05,1100.34,4433
sports_game,pregame,yes,95-99,467.02,6399
sports_prop,ingame,yes,10-20,225.0,5672853
sports_prop,ingame,yes,01-05,700.0,1757630
sports_prop,pregame,yes,35-50,255.0,5057433
sports_prop,ingame,yes,95-99,766.96,345809
sports_prop,pregame,yes,50-65,216.0,3266838
sports_prop,pregame,yes,20-35,551.0,3623763
sports_prop,pregame,yes,05-10,1030.0,619067
sports_prop,pregame,yes,65-80,313.0,1361575
sports_prop,pregame,yes,80-90,513.0,489317
sports_prop,pregame,yes,90-95,2029.405,191032
sports_game,unknown,yes,95-99,1744.43,123990
sports_game,unknown,yes,10-20,753.95,1510141
