series,family,markets,qty
KXMLBGAME,sports_game,298,673097589.21
KXITFMATCH,sports_prop,2694,649436529.34
KXATPCHALLENGERMATCH,sports_prop,1011,604077972.3299999
KXITFWMATCH,sports_prop,2677,593645066.97
KXWCADVANCE,sports_prop,10,515812563.7499918
KXATPMATCH,sports_game,382,357815419.53999996
KXMENWORLDCUP,sports_prop,6,355275572.2499489
KXWCSCORE,sports_prop,180,268249588.3499997
KXWTAMATCH,sports_game,372,220904578.78
KXMLBTOTAL,sports_prop,1795,206021272.23
KXNBASUMMERGAME,sports_game,143,188727715.13
KXWNBAGAME,sports_game,84,175330189.44000003
KXWCGAME,sports_game,18,154702703.31000057
KXUFCFIGHT,sports_prop,52,139121210.36999443
KXT20MATCH,sports_prop,232,135202682.82000002
KXWCGOAL,sports_prop,262,131720021.7099996
KXWTACHALLENGERMATCH,sports_prop,322,129095761.0
KXPGATOUR,sports_prop,235,107348927.77000001
KXMLBSPREAD,sports_prop,1303,96378575.4
KXWCTOTAL,sports_prop,43,62474801.22999973
KXODIMATCH,sports_prop,56,61662808.460000075
KXWCMOV,sports_prop,36,61148788.03000009
KXWNBATOTAL,sports_prop,528,43948497.83
KXLIGAMXGAME,sports_game,33,43660427.08999997
KXCS2GAME,sports_game,651,43081493.33
KXNBASUMMERTOTAL,sports_prop,796,41205778.44
KXMLSGAME,sports_game,60,39998044.28999999
KXMLBRFI,sports_prop,146,36677636.910000004
KXLOLGAME,sports_game,373,36662388.98
KXWCBTTS,sports_prop,7,35235925.90999992
KXWNBASPREAD,sports_prop,510,33415911.62
KXECULPGAME,sports_game,96,31538355.229999997
KXWCSPREAD,sports_prop,28,30946970.58000004
KXUFCMOV,sports_prop,182,28236328.410000056
KXWC1HSCORE,sports_prop,79,26032902.86
KXATPSETWINNER,sports_prop,760,25755903.81
KXWCGOALLEADER,sports_prop,20,25702839.349999633
KXNBASUMMERSPREAD,sports_prop,818,25187112.33
KXUECLGAME,sports_game,225,24713592.89
KXMLBHRDERBY,sports_prop,8,24535003.179999933
KXPGAR1LEAD,sports_prop,297,23252840.81
KXNPBGAME,sports_game,148,23080329.57
KXVALORANTGAME,sports_game,218,21361008.62
KXMLBF5TOTAL,sports_prop,1031,19731926.0
KXWC2H,sports_prop,18,19586973.41
KXWC1H,sports_prop,18,18822186.109999985
KXMLBHR,sports_prop,3996,18428304.13
KXWTASETWINNER,sports_prop,736,18112418.07
KXMLBF5,sports_prop,450,16540159.56
KXCLUBFGAME,sports_game,294,16463342.19
KXWCTEAMTOTAL,sports_prop,51,16218476.719999997
KXITFDOUBLES,sports_prop,771,16070726.98
KXITFWDOUBLES,sports_prop,781,15690818.04
KXWTA,sports_prop,36,15606168.8
KXBRASILEIROBGAME,sports_game,84,15145287.709999999
KXWCFINISHINGORDER,sports_prop,16,13972932.100000007
KXUCLGAME,sports_game,84,13836121.58
KXATP,sports_prop,46,13507816.660000006
KXLOLMAP,sports_prop,406,13042737.17
KXCS2MAP,sports_prop,1093,12637495.93
KXNASCARRACE,sports_prop,175,12571557.069999998
KXWCCORNERS,sports_prop,31,12131702.17
KXWC1HTOTAL,sports_prop,24,12120981.2
KXWCFTTS,sports_prop,18,12045542.55
KXWCSOA,sports_prop,137,11291336.150000002
KXWCTCORNERS,sports_prop,36,10616467.2
KXWCMESSIMBAPPE,sports_prop,3,10274783.390000006
KXWCAWARD,sports_prop,168,10205244.800000003
KXMLSTOTAL,sports_prop,113,9796399.59
KXWCFIRSTGOAL,sports_prop,134,9265163.900000019
KXWC1HBTTS,sports_prop,6,9040321.230000015
KXMLBKS,sports_prop,1942,8966862.65
KXBRASILEIROGAME,sports_game,36,8936157.379999999
KXVALORANTMAP,sports_prop,463,8687645.77
KXALLSVENSKANGAME,sports_game,51,8353861.94
KXMLBTEAMTOTAL,sports_prop,2068,7850007.93
KXNWSLGAME,sports_game,54,7217735.51
KXELITESERIENGAME,sports_game,54,6337203.75
KXWCAST,sports_prop,179,6291316.839999999
KXWT20MATCH,sports_prop,27,6262566.0
KXCONMEBOLSUDGAME,sports_game,24,6081728.250000001
KXLIGAMXTOTAL,sports_prop,44,5949502.8
KXPERLIGA1GAME,sports_game,30,5870885.279999999
KXWC2HBTTS,sports_prop,6,5803567.339999999
KXCODGAME,sports_game,26,5657497.469999999
KXUECLTOTAL,sports_prop,432,5647495.71
KXUELGAME,sports_game,45,5444281.25
KXCLUBFTOTAL,sports_prop,587,5311633.47
KXWC2HTOTAL,sports_prop,26,5274777.649999999
KXWCMOF,sports_prop,18,5001864.379999998
KXCHNSLGAME,sports_game,36,4965916.51
KXATPEXACTMATCH,sports_prop,739,4924201.0
KXMLBF5SPREAD,sports_prop,592,4880818.81
KXUCLTOTAL,sports_prop,118,4861667.38
KXKBOGAME,sports_game,68,4824762.7299999995
KXECULPTOTAL,sports_prop,93,4814511.93
KXPGATOP20,sports_prop,445,4467244.53
KXUSLGAME,sports_game,42,4312506.96
KXURYPDGAME,sports_game,33,4288926.65
KXPGAR2LEAD,sports_prop,174,4144198.4799999986
KXKLEAGUEGAME,sports_game,54,4107142.08
KXNBATEAMANNOUNCE,sports_prop,25,4054208.0500000003
KXUFCVICROUND,sports_prop,190,3972562.3399999994
KXDOTA2GAME,sports_game,140,3923594.78
KXMLBHIT,sports_prop,6948,3849511.12
KXATPGTOTAL,sports_prop,530,3470585.95
KXCFLGAME,sports_game,18,3383289.7300000004
KXPGAR3LEAD,sports_prop,137,3376549.44
KXATPGSPREAD,sports_prop,535,3115868.2800000003
KXWCSTART,sports_prop,329,3109364.27
KXWC3RDPLACE,sports_prop,8,3069833.4099999997
KXARGPREMDIVGAME,sports_game,9,2985733.2699999996
KXUFCDISTANCE,sports_prop,26,2965740.66
KXPGATOP10,sports_prop,384,2963668.98
KXMLBHRDERBYMATCHUP,sports_prop,28,2955726.29
KXWCGOALCOUNT,sports_prop,23,2916469.529999999
KXWC1HSPREAD,sports_prop,12,2912733.8699999996
KXWNBAPTS,sports_prop,918,2781111.42
KXBRASILEIROCGAME,sports_game,30,2720034.3499999996
KXLIGAMXSPREAD,sports_prop,44,2534453.56
KXMLSSPREAD,sports_prop,89,2515996.56
KXALLSVENSKANTOTAL,sports_prop,43,2505260.73
KXPGAROUNDSCORE,sports_prop,394,2438336.51
KXLNBPGAME,sports_game,8,2382708.4599999995
KXMLBHRR,sports_prop,8452,2360382.14
KXWC2HSPREAD,sports_prop,12,2326196.91
KXWNBA1HSPREAD,sports_prop,126,2322646.87
