date,latency_id,cancel_timer_us,track,refill_group,horizon_us,total_slices,observed_slices,censored_slices,total_filled_count_e4,observed_count_e4,censored_count_e4,weighted_gross_sum_e8,weighted_censored_entry_price_sum_e8,weighted_gross_lower_sum_e8,weighted_gross_upper_sum_e8,coverage_count_num_e4,coverage_count_den_e4,mean_gross_e4
2026-07-12,FAST,200000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,100000,2620,2545,104,25233700,24371100,862600,-3246530000,3646700000,-6893230000,1732770000,24371100,25233700,-133.21228832510639
2026-07-12,FAST,200000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,200000,2620,2569,79,25233700,24606000,627700,-3300480000,2356560000,-5657040000,619960000,24606000,25233700,-134.13313825896122
2026-07-12,FAST,200000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,500000,2620,2400,244,25233700,22958600,2275100,-3314440000,10206680000,-13521120000,9229880000,22958600,25233700,-144.3659456587074
2026-07-12,FAST,200000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,1000000,2620,2215,427,25233700,21212300,4021400,-3325080000,17924340000,-21249420000,18964580000,21212300,25233700,-156.75245022934806
2026-07-12,FAST,200000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,100000,2219,2126,101,21282600,20337700,944900,-769270000,4265110000,-5034380000,4414620000,20337700,21282600,-37.82482778288597
2026-07-12,FAST,200000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,200000,2219,2167,62,21282600,20723800,558800,-816470000,2419510000,-3235980000,2352020000,20723800,21282600,-39.39769733350061
2026-07-12,FAST,200000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,500000,2219,1999,229,21282600,19127000,2155600,-747380000,11380940000,-12128320000,9427680000,19127000,21282600,-39.07460657708998
2026-07-12,FAST,200000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,1000000,2219,1930,295,21282600,18453600,2829000,-721670000,14605530000,-15327200000,12962800000,18453600,21282600,-39.107274461351714
2026-07-12,FAST,200000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,100000,1281,1255,42,12323600,11969700,353900,-2508990000,1303980000,-3812970000,-273970000,11969700,12323600,-209.6117697185393
2026-07-12,FAST,200000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,200000,1281,1261,37,12323600,12015200,308400,-2529980000,883890000,-3413870000,-329870000,12015200,12323600,-210.56495106198815
2026-07-12,FAST,200000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,500000,1281,1195,98,12323600,11413800,909800,-2503030000,3833510000,-6336540000,2761460000,11413800,12323600,-219.29856839965655
2026-07-12,FAST,200000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,1000000,1281,1114,179,12323600,10638000,1685600,-2512970000,7003500000,-9516470000,7339530000,10638000,12323600,-236.22579432224103
2026-07-12,FAST,200000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,100000,857,839,25,8265100,8038600,226500,-674250000,1014490000,-1688740000,576260000,8038600,8265100,-83.87654566715597
2026-07-12,FAST,200000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,200000,857,845,21,8265100,8098900,166200,-694290000,709290000,-1403580000,258420000,8098900,8265100,-85.72645667930213
2026-07-12,FAST,200000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,500000,857,774,92,8265100,7412500,852600,-642660000,4150630000,-4793290000,3732710000,7412500,8265100,-86.69949409780776
2026-07-12,FAST,200000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,1000000,857,734,128,8265100,7046000,1219100,-622310000,6096250000,-6718560000,5472440000,7046000,8265100,-88.3210332103321
2026-07-12,FAST,200000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,100000,1097,1078,31,10596000,10330300,265700,-2394420000,802760000,-3197180000,-540180000,10330300,10596000,-231.78610495338955
2026-07-12,FAST,200000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,200000,1097,1080,33,10596000,10321600,274400,-2393700000,729750000,-3123450000,-379450000,10321600,10596000,-231.91171911331577
2026-07-12,FAST,200000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,500000,1097,1030,77,10596000,9887400,708600,-2352510000,2747010000,-5099520000,1986480000,9887400,10596000,-237.93009284543965
2026-07-12,FAST,200000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,1000000,1097,972,135,10596000,9310700,1285300,-2358950000,5364900000,-7723850000,5129150000,9310700,10596000,-253.35903852556737
2026-07-12,FAST,200000,STRICT_THROUGH,REFILL_BY_TIMER,100000,441,432,14,4224600,4096200,128400,-587090000,514570000,-1101660000,182340000,4096200,4224600,-143.32552121478443
2026-07-12,FAST,200000,STRICT_THROUGH,REFILL_BY_TIMER,200000,441,436,9,4224600,4144900,79700,-594770000,265830000,-860600000,-63600000,4144900,4224600,-143.49441482303553
2026-07-12,FAST,200000,STRICT_THROUGH,REFILL_BY_TIMER,500000,441,407,41,4224600,3843500,381100,-521860000,1713790000,-2235650000,1575350000,3843500,4224600,-135.77728632756603
2026-07-12,FAST,200000,STRICT_THROUGH,REFILL_BY_TIMER,1000000,441,388,57,4224600,3678400,546200,-481430000,2634980000,-3116410000,2345590000,3678400,4224600,-130.8802740321879
2026-07-12,FAST,300000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,100000,3288,3180,140,31639900,30434700,1205200,-3835640000,5393390000,-9229030000,2822970000,30434700,31639900,-126.02851350596524
2026-07-12,FAST,300000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,200000,3288,3212,106,31639900,30746700,893200,-3893190000,3764200000,-7657390000,1274610000,30746700,31639900,-126.62139351540165
2026-07-12,FAST,300000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,500000,3288,2958,356,31639900,28297200,3342700,-3894190000,15019640000,-18913830000,14513170000,28297200,31639900,-137.61750279179566
2026-07-12,FAST,300000,OPTIMISTIC_AT_TOUCH,NON_REFILL_OR_CENSORED,1000000,3288,2770,544,31639900,26519700,5120200,-3914870000,23169100000,-27083970000,24118030000,26519700,31639900,-147.6212023514595
2026-07-12,FAST,300000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,100000,2422,2324,109,23235800,22226000,1009800,-851180000,4566880000,-5418060000,4679940000,22226000,23235800,-38.29658957977144
2026-07-12,FAST,300000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,200000,2422,2370,65,23235800,22654700,581100,-886560000,2516540000,-3403100000,2407900000,22654700,23235800,-39.13360141604171
2026-07-12,FAST,300000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,500000,2422,2185,248,23235800,20893700,2342100,-820880000,12285840000,-13106720000,10314280000,20893700,23235800,-39.28839793813446
2026-07-12,FAST,300000,OPTIMISTIC_AT_TOUCH,REFILL_BY_TIMER,1000000,2422,2112,316,23235800,20220000,3015800,-793670000,15509730000,-16303400000,13854600000,20220000,23235800,-39.25173095944609
2026-07-12,FAST,300000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,100000,1670,1635,53,16074500,15618000,456500,-3024840000,1944790000,-4969630000,-404630000,15618000,16074500,-193.67652708413368
2026-07-12,FAST,300000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,200000,1670,1645,44,16074500,15698700,375800,-3041360000,1351350000,-4392710000,-634710000,15698700,16074500,-193.73323905801118
2026-07-12,FAST,300000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,500000,1670,1539,145,16074500,14714500,1360000,-2985320000,5977030000,-8962350000,4637650000,14714500,16074500,-202.88287063780623
2026-07-12,FAST,300000,QUEUE_PESSIMISTIC,NON_REFILL_OR_CENSORED,1000000,1670,1441,244,16074500,13777500,2297000,-2989640000,9901700000,-12891340000,10078660000,13777500,16074500,-216.99437488659046
2026-07-12,FAST,300000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,100000,946,925,30,9135100,8866000,269100,-759260000,1220990000,-1980250000,710750000,8866000,9135100,-85.6372659598466
2026-07-12,FAST,300000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,200000,946,933,24,9135100,8946300,188800,-767250000,804790000,-1572040000,315960000,8946300,9135100,-85.76171154555514
2026-07-12,FAST,300000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,500000,946,856,101,9135100,8195500,939600,-712160000,4700080000,-5412240000,3983760000,8195500,9135100,-86.89646757366847
2026-07-12,FAST,300000,QUEUE_PESSIMISTIC,REFILL_BY_TIMER,1000000,946,813,138,9135100,7816000,1319100,-696310000,6656250000,-7352560000,5838440000,7816000,9135100,-89.08776867963152
2026-07-12,FAST,300000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,100000,1435,1407,42,13868200,13499900,368300,-2926780000,1404570000,-4331350000,-648350000,13499900,13868200,-216.80012444536627
2026-07-12,FAST,300000,STRICT_THROUGH,NON_REFILL_OR_CENSORED,200000,1435,1415,38,13868200,13546400,321800,-2927590000,1005210000,-3932800000,-714800000,13546400,13868200,-216.11572078190517
