date,latency_id,cancel_timer_us,track,horizon_us,total_slices,observed_slices,censored_slices,total_filled_count_e4,observed_count_e4,censored_count_e4,weighted_gross_sum_e8,weighted_mid_twice_sum_e8,weighted_censored_entry_price_sum_e8,weighted_gross_lower_sum_e8,weighted_gross_upper_sum_e8,coverage_count_num_e4,coverage_count_den_e4,coverage_fraction_diagnostic,mean_gross_e4,mean_mid_e4
2026-07-12,FAST,200000,OPTIMISTIC_AT_TOUCH,100000,4839,4671,205,46516300,44708800,1807500,-4015800000,1338640000,7911810000,-11927610000,6147390000,44708800,46516300,0.961142653220484,-89.82124324517768,14.970654546755895
2026-07-12,FAST,200000,OPTIMISTIC_AT_TOUCH,200000,4839,4736,141,46516300,45329800,1186500,-4116950000,1081810000,4776070000,-8893020000,2971980000,45329800,46516300,0.9744928121970148,-90.82215231481277,11.932657986578366
2026-07-12,FAST,200000,OPTIMISTIC_AT_TOUCH,500000,4839,4399,473,46516300,42085600,4430700,-4061820000,129580000,21587620000,-25649440000,18657560000,42085600,46516300,0.9047495179109258,-96.51329670956336,1.5394814378314674
2026-07-12,FAST,200000,OPTIMISTIC_AT_TOUCH,1000000,4839,4145,722,46516300,39665900,6850400,-4046750000,-475110000,32529870000,-36576620000,31927380000,39665900,46516300,0.8527311931516479,-102.02087939514797,-5.988897264400909
2026-07-12,FAST,200000,QUEUE_PESSIMISTIC,100000,2138,2094,67,20588700,20008300,580400,-3183240000,-567370000,2318470000,-5501710000,302290000,20008300,20588700,0.9718097791506992,-159.0959751703043,-14.17836597811908
2026-07-12,FAST,200000,QUEUE_PESSIMISTIC,200000,2138,2106,58,20588700,20114100,474600,-3224270000,-800440000,1593180000,-4817450000,-71450000,20114100,20588700,0.9769485203048274,-160.29899423787293,-19.897484848936816
2026-07-12,FAST,200000,QUEUE_PESSIMISTIC,500000,2138,1969,190,20588700,18826300,1762400,-3145690000,-1423600000,7984140000,-11129830000,6494170000,18826300,20588700,0.9143996464079811,-167.09018766300335,-37.808810015775805
2026-07-12,FAST,200000,QUEUE_PESSIMISTIC,1000000,2138,1848,307,20588700,17684000,2904700,-3135280000,-1907420000,13099750000,-16235030000,12811970000,17684000,20588700,0.8589177558563678,-177.2947296991631,-53.93067179371183
2026-07-12,FAST,200000,STRICT_THROUGH,100000,1538,1510,45,14820600,14426500,394100,-2981510000,-1302880000,1317330000,-4298840000,-357840000,14426500,14820600,0.9734086339284509,-206.66897722940422,-45.155789692579624
2026-07-12,FAST,200000,STRICT_THROUGH,200000,1538,1516,42,14820600,14466500,354100,-2988470000,-1480960000,995580000,-3984050000,-443050000,14466500,14820600,0.9761075799900139,-206.578647219438,-51.18584315487506
2026-07-12,FAST,200000,STRICT_THROUGH,500000,1538,1437,118,14820600,13730900,1089700,-2874370000,-1891330000,4460800000,-7335170000,3561830000,13730900,14820600,0.9264739619178711,-209.33587747343583,-68.87130486712452
2026-07-12,FAST,200000,STRICT_THROUGH,1000000,1538,1360,192,14820600,12989100,1831500,-2840380000,-2310040000,7999880000,-10840260000,7474740000,12989100,14820600,0.876422007206186,-218.6741190690656,-88.92225019439375
2026-07-12,FAST,300000,OPTIMISTIC_AT_TOUCH,100000,5710,5504,249,54875700,52660700,2215000,-4686820000,1862820000,9960270000,-14647090000,7502910000,52660700,54875700,0.9596360502007264,-89.0003361140281,17.68700378080808
2026-07-12,FAST,300000,OPTIMISTIC_AT_TOUCH,200000,5710,5582,171,54875700,53401400,1474300,-4779750000,1604130000,6280740000,-11060490000,3682510000,53401400,54875700,0.9731338279056121,-89.50608036493425,15.019550049249645
2026-07-12,FAST,300000,OPTIMISTIC_AT_TOUCH,500000,5710,5143,604,54875700,49190900,5684800,-4715070000,403730000,27305480000,-32020550000,24827450000,49190900,54875700,0.8964058772826589,-95.852484910827,4.10370617329628
2026-07-12,FAST,300000,OPTIMISTIC_AT_TOUCH,1000000,5710,4882,860,54875700,46739700,8136000,-4708540000,-283460000,38678830000,-43387370000,37972630000,46739700,54875700,0.8517376543716071,-100.73962819615872,-3.0323258386339664
2026-07-12,FAST,300000,QUEUE_PESSIMISTIC,100000,2616,2560,83,25209600,24484000,725600,-3784100000,-486190000,3165780000,-6949880000,306120000,24484000,25209600,0.9712173140390962,-154.55399444535206,-9.928728965855253
2026-07-12,FAST,300000,QUEUE_PESSIMISTIC,200000,2616,2578,68,25209600,24645000,564600,-3808610000,-679920000,2156140000,-5964750000,-318750000,24645000,25209600,0.9776037699923839,-154.53885169405558,-13.794278758368838
2026-07-12,FAST,300000,QUEUE_PESSIMISTIC,500000,2616,2395,246,25209600,22910000,2299600,-3697480000,-1423170000,10677110000,-14374590000,8621410000,22910000,25209600,0.9087807819243463,-161.39153208206022,-31.060017459624618
2026-07-12,FAST,300000,QUEUE_PESSIMISTIC,1000000,2616,2254,382,25209600,21593500,3616100,-3685950000,-2011510000,16557950000,-20243900000,15917100000,21593500,25209600,0.8565586125920285,-170.69720054646075,-46.57674763238938
2026-07-12,FAST,300000,STRICT_THROUGH,100000,1926,1888,58,18547800,18038600,509200,-3587370000,-1394380000,1945140000,-5532510000,-440510000,18038600,18547800,0.9725466093013727,-198.8718636701296,-38.64989522468484
