censored_count_e4,censored_slices,coverage_fraction,date,gross_lower_mean_e4,gross_upper_mean_e4,horizon_us,observed_contribution_e4,observed_count_e4,observed_slices,total_filled_count_e4
405500,44,0.9668527707159965,2026-07-12,-295.1223300335968,36.349962806438164,100000,-183.43864697179012,11827800,1233,12233300
303400,35,0.9751988425036581,2026-07-12,-250.12547718113674,-2.1139022177172144,200000,-180.62501532701725,11929900,1243,12233300
1019200,109,0.9166864214888869,2026-07-12,-517.8488224763555,315.2869626347756,500000,-168.36094921239567,11214100,1169,12233300
1610300,168,0.8683674887397513,2026-07-12,-729.9297818250186,586.3953307774681,1000000,-164.14704127259202,10623000,1106,12233300
462200,52,0.9769484357154613,2026-07-15,-278.110988643788,-47.595345798401056,100000,-178.09552783693337,19588500,2030,20050700
288400,34,0.9856164622681503,2026-07-15,-246.01285740647458,-102.17748008797697,200000,-181.05053688898641,19762300,2051,20050700
1705700,178,0.9149306508002214,2026-07-15,-566.7138803134055,283.9796116843801,500000,-169.73123132858206,18345000,1905,20050700
2199800,229,0.8902881196167715,2026-07-15,-701.0224081952251,396.09639563706,1000000,-163.74839781154773,17850900,1853,20050700
445500,59,0.97356773305487,2026-07-17,-281.9530805012341,-17.63041104993355,100000,-177.3530947408392,16408900,1744,16854400
368500,47,0.978136273020695,2026-07-17,-265.53184925004746,-46.89457945699639,200000,-173.5724795898994,16485900,1753,16854400
1072900,119,0.9363430320865768,2026-07-17,-491.77840801215115,144.79127112208087,500000,-174.80361211315739,15781500,1678,16854400
1524400,166,0.9095547750142396,2026-07-17,-613.6860404404785,290.7662094171255,1000000,-172.72996962217582,15330000,1624,16854400
