censored_count_e4,date,horizon_us,observed_count_e4,refill_group,total_filled_count_e4,weighted_gross_lower_sum_e8,weighted_gross_sum_e8,weighted_gross_upper_sum_e8
214300,2026-07-12,200000,7766900,NON_REFILL_OR_CENSORED,7981200,-2186410000,-1608600000,-43410000
1043500,2026-07-12,1000000,6937700,NON_REFILL_OR_CENSORED,7981200,-5783620000,-1518630000,4651380000
89100,2026-07-12,200000,4163000,REFILL_BY_TIMER,4252100,-873450000,-601040000,17550000
566800,2026-07-12,1000000,3685300,REFILL_BY_TIMER,4252100,-3145830000,-489430000,2522170000
206100,2026-07-15,200000,12816300,NON_REFILL_OR_CENSORED,13022400,-3663080000,-2661110000,-1602080000
1416600,2026-07-15,1000000,11605800,NON_REFILL_OR_CENSORED,13022400,-9051130000,-2500910000,5114870000
82300,2026-07-15,200000,6946000,REFILL_BY_TIMER,7028300,-1269650000,-969080000,-446650000
783200,2026-07-15,1000000,6245100,REFILL_BY_TIMER,7028300,-5004860000,-782360000,2827140000
237200,2026-07-17,200000,10483100,NON_REFILL_OR_CENSORED,10720300,-3077220000,-2044670000,-705220000
945100,2026-07-17,1000000,9775200,NON_REFILL_OR_CENSORED,10720300,-6574660000,-2055240000,2876340000
131300,2026-07-17,200000,6002800,REFILL_BY_TIMER,6134100,-1398160000,-880790000,-85160000
579300,2026-07-17,1000000,5554800,REFILL_BY_TIMER,6134100,-3768650000,-856020000,2024350000
