obj=+1.95 pnl=+2.01 dd=0.12 locks=92 locked=+3.10 cutP=-0.55 setP=+0.00 losers=3/192 {'as_base_c': 0.9, 'clip': 3.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.2}
obj=+1.95 pnl=+2.01 dd=0.12 locks=92 locked=+3.10 cutP=-0.55 setP=+0.00 losers=3/192 {'as_base_c': 0.9, 'clip': 3.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.5}
obj=+1.95 pnl=+2.01 dd=0.12 locks=92 locked=+3.10 cutP=-0.55 setP=+0.00 losers=3/192 {'as_base_c': 0.9, 'clip': 3.0, 'drift_veto_c': 0.7, 'min_spread_c': 2.0}
obj=+1.95 pnl=+2.01 dd=0.12 locks=92 locked=+3.10 cutP=-0.55 setP=+0.00 losers=3/192 {'as_base_c': 0.9, 'clip': 3.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.2}
obj=+1.95 pnl=+2.01 dd=0.12 locks=92 locked=+3.10 cutP=-0.55 setP=+0.00 losers=3/192 {'as_base_c': 0.9, 'clip': 3.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.5}
obj=+1.95 pnl=+2.01 dd=0.12 locks=92 locked=+3.10 cutP=-0.55 setP=+0.00 losers=3/192 {'as_base_c': 0.9, 'clip': 3.0, 'drift_veto_c': 0.9, 'min_spread_c': 2.0}
obj=+1.95 pnl=+2.01 dd=0.12 locks=92 locked=+3.10 cutP=-0.55 setP=+0.00 losers=3/192 {'as_base_c': 0.9, 'clip': 3.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.2}
obj=+1.95 pnl=+2.01 dd=0.12 locks=92 locked=+3.10 cutP=-0.55 setP=+0.00 losers=3/192 {'as_base_c': 0.9, 'clip': 3.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.5}
obj=+1.95 pnl=+2.01 dd=0.12 locks=92 locked=+3.10 cutP=-0.55 setP=+0.00 losers=3/192 {'as_base_c': 0.9, 'clip': 3.0, 'drift_veto_c': 1.1, 'min_spread_c': 2.0}
obj=+1.59 pnl=+1.76 dd=0.33 locks=101 locked=+3.35 cutP=-0.99 setP=+0.00 losers=4/192 {'as_base_c': 0.4, 'clip': 3.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.2}
obj=+1.59 pnl=+1.76 dd=0.33 locks=101 locked=+3.35 cutP=-0.99 setP=+0.00 losers=4/192 {'as_base_c': 0.4, 'clip': 3.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.5}
obj=+1.59 pnl=+1.76 dd=0.33 locks=101 locked=+3.35 cutP=-0.99 setP=+0.00 losers=4/192 {'as_base_c': 0.4, 'clip': 3.0, 'drift_veto_c': 0.7, 'min_spread_c': 2.0}
obj=+1.59 pnl=+1.76 dd=0.33 locks=101 locked=+3.35 cutP=-0.99 setP=+0.00 losers=4/192 {'as_base_c': 0.4, 'clip': 3.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.2}
obj=+1.59 pnl=+1.76 dd=0.33 locks=101 locked=+3.35 cutP=-0.99 setP=+0.00 losers=4/192 {'as_base_c': 0.4, 'clip': 3.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.5}
obj=+1.59 pnl=+1.76 dd=0.33 locks=101 locked=+3.35 cutP=-0.99 setP=+0.00 losers=4/192 {'as_base_c': 0.4, 'clip': 3.0, 'drift_veto_c': 0.9, 'min_spread_c': 2.0}
obj=+1.59 pnl=+1.76 dd=0.33 locks=101 locked=+3.35 cutP=-0.99 setP=+0.00 losers=4/192 {'as_base_c': 0.4, 'clip': 3.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.2}
obj=+1.59 pnl=+1.76 dd=0.33 locks=101 locked=+3.35 cutP=-0.99 setP=+0.00 losers=4/192 {'as_base_c': 0.4, 'clip': 3.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.5}
obj=+1.59 pnl=+1.76 dd=0.33 locks=101 locked=+3.35 cutP=-0.99 setP=+0.00 losers=4/192 {'as_base_c': 0.4, 'clip': 3.0, 'drift_veto_c': 1.1, 'min_spread_c': 2.0}
obj=+1.46 pnl=+1.63 dd=0.33 locks=98 locked=+3.18 cutP=-0.95 setP=+0.00 losers=4/192 {'as_base_c': 0.6, 'clip': 3.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.2}
obj=+1.46 pnl=+1.63 dd=0.33 locks=98 locked=+3.18 cutP=-0.95 setP=+0.00 losers=4/192 {'as_base_c': 0.6, 'clip': 3.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.5}
obj=+1.46 pnl=+1.63 dd=0.33 locks=98 locked=+3.18 cutP=-0.95 setP=+0.00 losers=4/192 {'as_base_c': 0.6, 'clip': 3.0, 'drift_veto_c': 0.7, 'min_spread_c': 2.0}
obj=+1.46 pnl=+1.63 dd=0.33 locks=98 locked=+3.18 cutP=-0.95 setP=+0.00 losers=4/192 {'as_base_c': 0.6, 'clip': 3.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.2}
obj=+1.46 pnl=+1.63 dd=0.33 locks=98 locked=+3.18 cutP=-0.95 setP=+0.00 losers=4/192 {'as_base_c': 0.6, 'clip': 3.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.5}
obj=+1.46 pnl=+1.63 dd=0.33 locks=98 locked=+3.18 cutP=-0.95 setP=+0.00 losers=4/192 {'as_base_c': 0.6, 'clip': 3.0, 'drift_veto_c': 0.9, 'min_spread_c': 2.0}
obj=+1.46 pnl=+1.63 dd=0.33 locks=98 locked=+3.18 cutP=-0.95 setP=+0.00 losers=4/192 {'as_base_c': 0.6, 'clip': 3.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.2}
obj=+1.46 pnl=+1.63 dd=0.33 locks=98 locked=+3.18 cutP=-0.95 setP=+0.00 losers=4/192 {'as_base_c': 0.6, 'clip': 3.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.5}
obj=+1.46 pnl=+1.63 dd=0.33 locks=98 locked=+3.18 cutP=-0.95 setP=+0.00 losers=4/192 {'as_base_c': 0.6, 'clip': 3.0, 'drift_veto_c': 1.1, 'min_spread_c': 2.0}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.2}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.5}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 2.0}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.2}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.5}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 0.9, 'min_spread_c': 2.0}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.2}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 1.1, 'min_spread_c': 1.5}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.4, 'clip': 1.0, 'drift_veto_c': 1.1, 'min_spread_c': 2.0}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.6, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.2}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.6, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 1.5}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.6, 'clip': 1.0, 'drift_veto_c': 0.7, 'min_spread_c': 2.0}
obj=+0.00 pnl=+0.00 dd=0.00 locks=0 locked=+0.00 cutP=+0.00 setP=+0.00 losers=0/192 {'as_base_c': 0.6, 'clip': 1.0, 'drift_veto_c': 0.9, 'min_spread_c': 1.2}
